city,year,treat,batch,first_treat_year
丽水市,2019,0,0,0
丽水市,2020,0,0,0
丽水市,2021,0,0,0
丽水市,2022,0,0,0
丽水市,2023,0,0,0
丽江市,1990,0,0,0
丽江市,1991,0,0,0
丽江市,1992,0,0,0
丽江市,1993,0,0,0
丽江市,1994,0,0,0
丽江市,1995,0,0,0
丽江市,1996,0,0,0
丽江市,1997,0,0,0
丽江市,1998,0,0,0
丽江市,1999,0,0,0
丽江市,2000,0,0,0
丽江市,2001,0,0,0
丽江市,2002,0,0,0
丽江市,2003,0,0,0
丽江市,2004,0,0,0
丽江市,2005,0,0,0
丽江市,2006,0,0,0
丽江市,2007,0,0,0
丽江市,2008,0,0,0
丽江市,2009,0,0,0
丽江市,2010,0,0,0
丽江市,2011,0,0,0
丽江市,2012,0,0,0
丽江市,2013,0,0,0
丽江市,2014,0,0,0
丽江市,2015,0,0,0
丽江市,2016,0,0,0
丽江市,2017,0,0,0
丽江市,2018,0,0,0
丽江市,2019,0,0,0
丽江市,2020,0,0,0
丽江市,2021,0,0,0
丽江市,2022,0,0,0
丽江市,2023,0,0,0
乌兰察布市,1990,0,0,0
乌兰察布市,1991,0,0,0
乌兰察布市,1992,0,0,0
乌兰察布市,1993,0,0,0
乌兰察布市,1994,0,0,0
乌兰察布市,1995,0,0,0
乌兰察布市,1996,0,0,0
乌兰察布市,1997,0,0,0
乌兰察布市,1998,0,0,0
乌兰察布市,1999,0,0,0
乌兰察布市,2000,0,0,0
乌兰察布市,2001,0,0,0
乌兰察布市,2002,0,0,0
乌兰察布市,2003,0,0,0
乌兰察布市,2004,0,0,0
乌兰察布市,2005,0,0,0
乌兰察布市,2006,0,0,0
乌兰察布市,2007,0,0,0
乌兰察布市,2008,0,0,0
乌兰察布市,2009,0,0,0
乌兰察布市,2010,0,0,0
乌兰察布市,2011,0,0,0
乌兰察布市,2012,0,0,0
乌兰察布市,2013,0,0,0
乌兰察布市,2014,0,0,0
乌兰察布市,2015,0,0,0
乌兰察布市,2016,0,0,0
乌兰察布市,2017,0,0,0
乌兰察布市,2018,0,0,0
乌兰察布市,2019,0,0,0
乌兰察布市,2020,0,0,0
乌兰察布市,2021,0,0,0
乌兰察布市,2022,0,0,0
乌兰察布市,2023,0,0,0
乌海市,1990,0,0,0
乌海市,1991,0,0,0
乌海市,1992,0,0,0
乌海市,1993,0,0,0
乌海市,1994,0,0,0
乌海市,1995,0,0,0
乌海市,1996,0,0,0
乌海市,1997,0,0,0
乌海市,1998,0,0,0
乌海市,1999,0,0,0
乌海市,2000,0,0,0
乌海市,2001,0,0,0
乌海市,2002,0,0,0
乌海市,2003,0,0,0
乌海市,2004,0,0,0
乌海市,2005,0,0,0
乌海市,2006,0,0,0
乌海市,2007,0,0,0
乌海市,2008,0,0,0
乌海市,2009,0,0,0
乌海市,2010,0,0,0
乌海市,2011,0,0,0
乌海市,2012,0,0,0
乌海市,2013,0,0,0
乌海市,2014,0,0,0
乌海市,2015,0,0,0
乌海市,2016,0,0,0
乌海市,2017,0,0,0
乌海市,2018,0,0,0
乌海市,2019,0,0,0
乌海市,2020,0,0,0
乌海市,2021,0,0,0
乌海市,2022,0,0,0
乌海市,2023,0,0,0
乌鲁木齐市,1990,0,0,0
乌鲁木齐市,1991,0,0,0
乌鲁木齐市,1992,0,0,0
乌鲁木齐市,1993,0,0,0
乌鲁木齐市,1994,0,0,0
乌鲁木齐市,1995,0,0,0
乌鲁木齐市,1996,0,0,0
乌鲁木齐市,1997,0,0,0
乌鲁木齐市,1998,0,0,0
乌鲁木齐市,1999,0,0,0
乌鲁木齐市,2000,0,0,0
乌鲁木齐市,2001,0,0,0
乌鲁木齐市,2002,0,0,0
乌鲁木齐市,2003,0,0,0
乌鲁木齐市,2004,0,0,0
乌鲁木齐市,2005,0,0,0
乌鲁木齐市,2006,0,0,0
乌鲁木齐市,2007,0,0,0
乌鲁木齐市,2008,0,0,0
乌鲁木齐市,2009,0,0,0
乌鲁木齐市,2010,0,0,0
乌鲁木齐市,2011,0,0,0
乌鲁木齐市,2012,0,0,0
乌鲁木齐市,2013,0,0,0
乌鲁木齐市,2014,0,0,0
乌鲁木齐市,2015,0,0,0
乌鲁木齐市,2016,0,0,0
乌鲁木齐市,2017,0,0,0
乌鲁木齐市,2018,0,0,0
乌鲁木齐市,2019,0,0,0
乌鲁木齐市,2020,0,0,0
乌鲁木齐市,2021,0,0,0
乌鲁木齐市,2022,0,0,0
乌鲁木齐市,2023,0,0,0
乐山市,1990,0,0,0
乐山市,1991,0,0,0
乐山市,1992,0,0,0
乐山市,1993,0,0,0
乐山市,1994,0,0,0
乐山市,1995,0,0,0
乐山市,1996,0,0,0
乐山市,1997,0,0,0
乐山市,1998,0,0,0
乐山市,1999,0,0,0
乐山市,2000,0,0,0
乐山市,2001,0,0,0
乐山市,2002,0,0,0
乐山市,2003,0,0,0
乐山市,2004,0,0,0
乐山市,2005,0,0,0
乐山市,2006,0,0,0
乐山市,2007,0,0,0
乐山市,2008,0,0,0
乐山市,2009,0,0,0
乐山市,2010,0,0,0
乐山市,2011,0,0,0
乐山市,2012,0,0,0
乐山市,2013,0,0,0
乐山市,2014,0,0,0
乐山市,2015,0,0,0
乐山市,2016,0,0,0
乐山市,2017,0,0,0
乐山市,2018,0,0,0
乐山市,2019,0,0,0
乐山市,2020,0,0,0
乐山市,2021,0,0,0
乐山市,2022,0,0,0
乐山市,2023,0,0,0
九江市,1990,0,0,0
九江市,1991,0,0,0
九江市,1992,0,0,0
九江市,1993,0,0,0
九江市,1994,0,0,0
九江市,1995,0,0,0
九江市,1996,0,0,0
九江市,1997,0,0,0
九江市,1998,0,0,0
九江市,1999,0,0,0
九江市,2000,0,0,0
九江市,2001,0,0,0
九江市,2002,0,0,0
九江市,2003,0,0,0
九江市,2004,0,0,0
九江市,2005,0,0,0
九江市,2006,0,0,0
九江市,2007,0,0,0
九江市,2008,0,0,0
九江市,2009,0,0,0
九江市,2010,0,0,0
九江市,2011,0,0,0
九江市,2012,0,0,0
九江市,2013,0,0,0
九江市,2014,0,0,0
九江市,2015,0,0,0
九江市,2016,0,0,0
九江市,2017,0,0,0
九江市,2018,0,0,0
九江市,2019,0,0,0
九江市,2020,0,0,0
九江市,2021,0,0,0
九江市,2022,0,0,0
九江市,2023,0,0,0
云浮市,1990,0,0,0
云浮市,1991,0,0,0
云浮市,1992,0,0,0
云浮市,1993,0,0,0
云浮市,1994,0,0,0
云浮市,1995,0,0,0
云浮市,1996,0,0,0
云浮市,1997,0,0,0
云浮市,1998,0,0,0
云浮市,1999,0,0,0
云浮市,2000,0,0,0
云浮市,2001,0,0,0
云浮市,2002,0,0,0
云浮市,2003,0,0,0
云浮市,2004,0,0,0
云浮市,2005,0,0,0
云浮市,2006,0,0,0
云浮市,2007,0,0,0
云浮市,2008,0,0,0
云浮市,2009,0,0,0
云浮市,2010,0,0,0
云浮市,2011,0,0,0
云浮市,2012,0,0,0
云浮市,2013,0,0,0
云浮市,2014,0,0,0
云浮市,2015,0,0,0
云浮市,2016,0,0,0
云浮市,2017,0,0,0
云浮市,2018,0,0,0
云浮市,2019,0,0,0
云浮市,2020,0,0,0
云浮市,2021,0,0,0
云浮市,2022,0,0,0
云浮市,2023,0,0,0
亳州市,1990,0,0,0
亳州市,1991,0,0,0
亳州市,1992,0,0,0
亳州市,1993,0,0,0
亳州市,1994,0,0,0
亳州市,1995,0,0,0
亳州市,1996,0,0,0
亳州市,1997,0,0,0
亳州市,1998,0,0,0
亳州市,1999,0,0,0
亳州市,2000,0,0,0
亳州市,2001,0,0,0
亳州市,2002,0,0,0
亳州市,2003,0,0,0
亳州市,2004,0,0,0
亳州市,2005,0,0,0
亳州市,2006,0,0,0
亳州市,2007,0,0,0
亳州市,2008,0,0,0
亳州市,2009,0,0,0
亳州市,2010,0,0,0
亳州市,2011,0,0,0
亳州市,2012,0,0,0
亳州市,2013,0,0,0
亳州市,2014,0,0,0
亳州市,2015,0,0,0
亳州市,2016,0,0,0
亳州市,2017,0,0,0
亳州市,2018,0,0,0
亳州市,2019,0,0,0
亳州市,2020,0,0,0
亳州市,2021,0,0,0
亳州市,2022,0,0,0
亳州市,2023,0,0,0
伊春市,1990,0,0,0
伊春市,1991,0,0,0
伊春市,1992,0,0,0
伊春市,1993,0,0,0
伊春市,1994,0,0,0
伊春市,1995,0,0,0
伊春市,1996,0,0,0
伊春市,1997,0,0,0
伊春市,1998,0,0,0
伊春市,1999,0,0,0
伊春市,2000,0,0,0
伊春市,2001,0,0,0
伊春市,2002,0,0,0
伊春市,2003,0,0,0
伊春市,2004,0,0,0
伊春市,2005,0,0,0
伊春市,2006,0,0,0
伊春市,2007,0,0,0
伊春市,2008,0,0,0
伊春市,2009,0,0,0
伊春市,2010,0,0,0
伊春市,2011,0,0,0
伊春市,2012,0,0,0
伊春市,2013,0,0,0
伊春市,2014,0,0,0
伊春市,2015,0,0,0
伊春市,2016,0,0,0
伊春市,2017,0,0,0
伊春市,2018,0,0,0
伊春市,2019,0,0,0
伊春市,2020,0,0,0
伊春市,2021,0,0,0
伊春市,2022,0,0,0
伊春市,2023,0,0,0
佛山市,1990,0,0,0
佛山市,1991,0,0,0
佛山市,1992,0,0,0
佛山市,1993,0,0,0
佛山市,1994,0,0,0
佛山市,1995,0,0,0
佛山市,1996,0,0,0
佛山市,1997,0,0,0
佛山市,1998,0,0,0
佛山市,1999,0,0,0
佛山市,2000,0,0,0
佛山市,2001,0,0,0
佛山市,2002,0,0,0
佛山市,2003,0,0,0
佛山市,2004,0,0,0
佛山市,2005,0,0,0
佛山市,2006,0,0,0
佛山市,2007,0,0,0
佛山市,2008,0,0,0
佛山市,2009,0,0,0
佛山市,2010,0,0,0
佛山市,2011,0,0,0
佛山市,2012,0,0,0
佛山市,2013,0,0,0
佛山市,2014,0,0,0
佛山市,2015,0,0,0
佛山市,2016,0,0,0
佛山市,2017,0,0,0
佛山市,2018,0,0,0
佛山市,2019,0,0,0
佛山市,2020,0,0,0
佛山市,2021,0,0,0
佛山市,2022,0,0,0
佛山市,2023,0,0,0
佳木斯市,1990,0,0,0
佳木斯市,1991,0,0,0
佳木斯市,1992,0,0,0
佳木斯市,1993,0,0,0
佳木斯市,1994,0,0,0
佳木斯市,1995,0,0,0
佳木斯市,1996,0,0,0
佳木斯市,1997,0,0,0
佳木斯市,1998,0,0,0
佳木斯市,1999,0,0,0
佳木斯市,2000,0,0,0
佳木斯市,2001,0,0,0
佳木斯市,2002,0,0,0
佳木斯市,2003,0,0,0
佳木斯市,2004,0,0,0
佳木斯市,2005,0,0,0
佳木斯市,2006,0,0,0
佳木斯市,2007,0,0,0
佳木斯市,2008,0,0,0
佳木斯市,2009,0,0,0
佳木斯市,2010,0,0,0
佳木斯市,2011,0,0,0
佳木斯市,2012,0,0,0
