Year,Month,News_Based_Policy_Uncert_Index
1974,6,90.920585
1974,7,92.507955
1974,8,112.01446
1974,9,77.502548
1974,10,91.898818
1974,11,93.215255
1974,12,120.3802
1975,1,96.240266
1975,2,78.77194
1975,3,86.502754
1975,4,83.954265
1975,5,77.828675
1975,6,79.601927
1975,7,81.988464
1975,8,81.196261
1975,9,85.795602
1975,10,105.81664
1975,11,95.722626
1975,12,100.86376
1976,1,86.633146
1976,2,65.126792
1976,3,75.143571
1976,4,64.391553
1976,5,80.291002
1976,6,62.339864
1976,7,54.345273
1976,8,79.238534
1976,9,75.071411
1976,10,70.573582
1976,11,99.778768
1976,12,79.490353
1977,1,79.986508
1977,2,72.601327
1977,3,62.156589
1977,4,83.683555
1977,5,98.418325
1977,6,70.414927
1977,7,80.226992
1977,8,71.948028
1977,9,73.685215
1977,10,97.916613
1977,11,97.808892
1977,12,117.11559
1978,1,109.37018
1978,2,97.025135
1978,3,101.88348
1978,4,85.069336
1978,5,79.218309
1978,6,82.964845
1978,7,103.36461
1978,8,76.226044
1978,9,83.701632
1978,10,77.396679
1978,11,93.705187
1978,12,92.048769
1979,1,85.150016
1979,2,108.87818
1979,3,90.833386
1979,4,95.047924
1979,5,94.076136
1979,6,93.996716
1979,7,129.59659
1979,8,65.006883
1979,9,94.933683
1979,10,120.16105
1979,11,116.1564
1979,12,105.36916
1980,1,104.43279
1980,2,77.070478
1980,3,83.001147
1980,4,95.026957
1980,5,81.989501
1980,6,77.26162
1980,7,102.06499
1980,8,94.459087
1980,9,80.984448
1980,10,87.091961
1980,11,96.392143
1980,12,85.778488
1981,1,109.16926
1981,2,80.030886
1981,3,81.112099
1981,4,92.280214
1981,5,80.365829
1981,6,104.64601
1981,7,100.1272
1981,8,79.285357
1981,9,111.77702
1981,10,101.42037
1981,11,78.634436
1981,12,87.04099
1982,1,123.95945
1982,2,101.93601
1982,3,118.21384
1982,4,110.73381
1982,5,119.3441
1982,6,125.72781
1982,7,108.75549
1982,8,116.87392
1982,9,114.94739
1982,10,108.55279
1982,11,103.15013
1982,12,111.54713
1983,1,119.60696
1983,2,115.98874
1983,3,104.21082
1983,4,103.45351
1983,5,97.012466
1983,6,106.10847
1983,7,108.5905
1983,8,84.145926
1983,9,90.220249
1983,10,97.209535
1983,11,99.477386
1983,12,81.435855
1984,1,120.50577
1984,2,122.94158
1984,3,99.473756
1984,4,88.73534
1984,5,85.63728
1984,6,107.4372
1984,7,98.238962
1984,8,103.43077
1984,9,88.63725
1984,10,91.10417
1984,11,106.90445
1984,12,129.87122
1985,1,103.7488
1985,2,78.313193
1985,3,100.76148
1985,4,84.778863
1985,5,98.053653
1985,6,119.59715
1985,7,111.41511
1985,8,111.24701
1985,9,111.18446
1985,10,93.099104
1985,11,85.099133
